0,0,0,0,1,0,1,6
0,0,0,1,1,1,1,6
0,0,0,1,1,0,1,5
0,0,0,1,0,0,1,4
0,0,0,0,0,1,1,4
0,0,0,0,1,0,1,3
0,0,0,1,1,0,1,3
0,0,0,0,0,0,1,4
10,0,0,0,1,0,0,0
0,0,0,1,0,0,1,3
0,0,0,1,0,1,1,4
0,0,0,0,1,1,1,4
0,0,0,0,1,0,1,7
10,0,0,0,1,1,1,3
0,0,0,1,1,0,1,5
0,0,0,0,1,0,1,2
0,0,0,1,0,0,1,2
0,0,0,0,0,1,1,2
0,0,0,1,1,0,1,5
0,0,0,0,1,1,1,1
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,1
0,0,0,1,0,1,1,1
0,0,0,0,1,0,1,1
0,0,0,1,1,0,1,1
0,0,0,1,0,0,1,1
0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,1
10,0,0,1,0,1,1,3
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,2
0,0,0,0,1,1,1,1
0,0,0,0,1,1,1,1
10,0,0,0,1,0,1,2
0,0,0,1,0,1,1,1
0,0,0,0,1,1,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,2
0,0,0,1,0,0,0,0
10,0,0,0,0,1,1,1
0,0,0,0,1,1,1,1
0,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1
0,0,0,1,0,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,1,0,0
0,0,0,0,1,1,1,1
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1
0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,2
0,0,0,1,0,1,1,4
0,0,0,0,0,1,1,1
0,0,0,1,1,0,1,3
0,0,0,1,1,0,1,3
0,0,0,1,0,1,1,2
0,0,0,1,0,0,1,3
0,0,0,1,1,0,1,2
0,0,0,1,0,1,1,5
0,0,0,1,1,0,1,2
0,0,0,1,0,1,1,4
0,0,0,1,0,0,1,3
0,0,0,1,1,0,1,5
0,0,0,1,0,1,1,4
0,0,0,1,1,0,1,4
0,0,0,1,1,0,1,4
0,0,0,1,1,0,1,4
0,0,0,1,0,1,1,4
0,0,0,1,1,1,1,5
0,0,0,1,0,1,1,6
0,0,0,1,0,1,1,6
0,0,0,1,1,0,1,4
10,0,0,1,0,1,1,5
0,0,0,1,0,1,1,6
10,0,0,1,1,0,1,5
0,0,0,1,1,0,1,5
0,0,0,1,1,0,1,4
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,2
0,0,0,0,1,0,0,0
0,0,0,0,0,1,1,2
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,1
0,0,0,0,1,0,1,1
0,0,0,1,1,1,1,1
0,0,0,1,1,1,1,1
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,1
0,0,0,1,0,1,0,0
0,0,0,0,0,1,1,1
0,0,0,0,1,0,1,2
0,0,0,1,0,1,1,2
0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,2
0,0,0,1,1,1,1,1
0,0,0,1,1,0,1,2
0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,1
0,0,0,1,1,0,0,0
0,0,0,1,1,0,1,1
0,0,0,0,1,0,1,4
0,0,0,1,0,1,1,1
0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,1
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,3
0,0,0,0,0,0,1,5
0,0,0,0,1,0,1,3
0,0,0,1,0,1,1,8
0,0,0,1,0,0,1,4
0,0,0,1,0,0,1,6
0,0,0,0,1,0,1,4
0,0,0,0,0,1,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,4
0,0,0,1,0,0,1,5
0,0,0,1,0,0,1,4
0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1
0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0
0,0,0,0,1,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,2
0,0,0,0,0,0,1,3
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,1,0,1,4
0,0,0,0,0,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,4
0,0,0,1,1,0,0,0
0,0,0,0,1,0,1,1
0,0,0,1,0,1,1,1
0,0,0,0,1,0,1,2
0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0
0,0,0,1,0,1,1,1
0,0,0,1,0,1,1,1
0,0,0,1,0,0,1,4
0,0,0,1,0,1,1,6
0,0,0,1,0,0,1,4
0,0,0,1,1,1,1,4
0,0,0,1,0,0,1,3
0,0,1,0,1,0,1,4
0,0,1,0,1,0,1,6
0,0,0,0,1,0,1,5
0,0,1,0,1,0,1,5
0,0,0,1,0,0,1,5
0,0,1,0,1,0,1,4
0,0,1,0,1,0,1,3
0,0,1,0,1,0,1,3
0,0,0,1,1,1,1,5
0,0,0,1,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,2
0,0,0,1,0,0,1,5
0,0,0,0,0,0,1,5
0,0,0,0,1,0,1,3
0,0,0,1,0,0,1,4
0,0,0,0,0,0,1,4
10,0,0,0,0,1,1,5
0,0,0,0,1,1,1,4
0,0,0,0,1,1,1,6
0,0,0,1,1,1,1,3
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,6
0,0,0,0,1,1,1,3
0,0,0,0,0,1,1,4
0,0,0,0,1,1,1,2
0,0,0,0,1,0,1,2
0,0,0,0,1,1,1,2
0,0,0,0,1,0,1,3
0,0,0,0,1,1,1,1
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,2
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,1,0,1,0,0,1,1
0,0,0,0,1,1,0,0
0,0,0,0,1,0,1,3
0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,1
0,0,0,0,0,0,1,1
0,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0
0,0,0,0,0,1,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,0
0,0,0,0,1,1,1,1
0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0
0,0,0,1,0,0,1,1
0,0,0,0,0,1,1,2
0,0,0,1,1,0,1,1
0,0,0,0,1,0,1,2
0,0,0,1,0,1,0,0
0,0,0,1,1,0,1,1
0,0,0,1,1,1,0,0
0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0
0,0,0,1,1,1,0,0
0,0,1,0,1,0,0,0
0,0,0,1,1,0,1,3
0,0,0,1,1,0,1,1
0,1,0,1,1,0,0,0
0,0,0,1,1,1,1,1
0,0,0,0,0,1,1,1
0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0
0,0,0,0,0,1,1,1
0,0,0,1,1,0,0,0
0,0,0,1,1,0,1,1
0,0,0,1,1,0,1,3
0,0,0,1,0,0,1,4
0,0,0,1,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,1,1,1,1,5
0,0,0,0,1,0,1,4
0,0,0,1,0,1,1,2
0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,4
0,0,0,1,0,1,1,4
0,0,0,1,0,1,1,4
0,0,0,1,0,1,1,1
0,0,0,1,1,1,1,5
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,1,1,0,1,4
0,0,0,1,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,1,1,0,1,4
0,0,0,0,1,0,1,5
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,1
0,0,0,1,0,1,1,2
0,0,0,1,0,1,1,1
0,0,0,1,0,1,0,0
0,0,0,1,0,1,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,2
0,0,0,1,0,1,1,1
0,0,0,1,0,1,1,2
0,0,0,1,0,0,0,0
0,0,0,0,0,1,1,1
0,0,0,0,1,0,1,5
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,4
0,0,0,1,0,1,1,5
0,0,0,1,0,1,1,4
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,4
0,0,0,0,0,1,1,5
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,5
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,6
0,0,0,1,0,1,1,7
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,4
0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,1
0,0,0,0,1,0,1,1
0,0,0,1,1,1,1,1
0,0,0,1,0,1,1,1
0,0,0,1,0,1,1,1
0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,2
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,5
0,0,0,0,1,0,1,2
0,0,0,0,0,0,1,2
0,0,0,0,0,0,1,1
0,0,0,0,1,0,1,1
0,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,2
0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,0
0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1
0,0,0,0,1,0,1,1
0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0
10,0,0,0,1,0,1,2
0,0,1,0,1,0,1,2
0,0,0,1,1,0,1,2
0,0,0,1,1,0,0,0
0,0,0,1,1,1,0,0
0,0,0,1,1,1,1,2
0,0,0,1,1,1,1,1
0,0,0,0,1,1,1,2
0,0,0,1,1,0,1,2
0,0,0,1,1,1,0,0
0,0,0,0,1,1,1,2
10,0,0,0,0,1,1,1
0,0,0,1,0,0,1,1
0,0,0,1,0,0,1,3
0,0,0,1,0,1,1,1
0,0,0,0,1,1,0,0
0,0,0,1,0,1,1,1
10,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0
0,0,0,0,1,0,1,1
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,1
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0
0,0,0,0,1,0,1,1
0,1,0,0,1,1,0,0
0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,4
0,0,0,0,1,1,1,4
0,0,0,1,1,0,1,4
0,0,0,1,1,0,1,5
0,0,0,1,1,0,1,3
0,0,0,0,1,0,1,3
0,0,0,0,0,1,1,3
0,0,0,0,1,0,1,4
0,0,0,1,0,1,1,2
0,0,0,0,0,1,1,4
0,0,0,0,1,0,1,3
0,0,0,1,0,1,1,3
0,0,0,0,0,1,1,4
0,0,0,0,1,0,1,3
10,0,0,0,0,0,1,3
0,0,0,1,0,1,1,4
0,0,0,1,0,0,1,3
0,0,0,0,1,0,1,2
0,0,0,1,1,0,1,3
0,0,0,0,1,0,1,3
0,0,0,1,1,1,1,3
0,0,0,1,0,0,1,4
0,0,0,1,1,0,1,4
0,0,0,1,1,1,1,4
0,0,0,0,1,1,1,3
0,0,0,1,0,1,1,3
0,0,0,0,0,1,1,4
0,0,0,0,0,1,1,3
0,0,0,1,0,1,1,4
0,0,0,1,0,1,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,6
0,0,0,1,0,1,1,2
0,0,0,0,0,1,1,2
0,0,0,1,0,1,1,3
0,0,0,1,0,0,1,4
0,1,0,0,0,1,1,2
0,0,0,1,0,0,1,2
0,0,0,0,1,0,1,4
0,0,0,1,0,0,1,2
0,0,0,0,1,1,1,2
0,0,0,1,0,0,1,1
0,0,0,0,1,0,1,2
0,0,0,0,0,0,1,4
0,0,0,0,1,0,1,1
0,0,0,1,0,0,1,2
0,0,0,0,1,1,1,3
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,2
0,0,0,0,0,0,1,2
0,0,0,0,1,0,1,2
0,0,0,0,1,1,1,3
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,3
0,0,0,1,0,0,1,3
0,0,0,0,1,1,1,3
0,0,0,0,1,0,1,2
0,0,0,0,0,0,1,3
0,0,0,0,1,1,1,2
0,0,0,0,0,0,1,3
0,0,0,0,1,0,1,3
0,0,0,0,1,1,1,3
0,0,0,1,1,1,1,2
0,0,0,1,0,1,1,2
0,0,0,1,0,1,1,1
10,0,0,1,0,1,1,3
0,0,0,1,1,0,1,1
10,0,0,1,0,1,1,2
10,0,0,1,0,1,1,2
10,0,0,1,0,1,1,2
10,0,0,1,0,1,1,1
0,0,0,1,1,0,1,2
0,0,0,1,1,0,1,3
10,0,0,1,0,1,1,1
10,0,0,1,1,0,1,3
0,0,0,1,1,0,1,2
0,0,0,1,0,1,1,2
10,0,0,1,1,0,1,2
0,0,0,1,0,1,1,2
10,0,0,1,0,1,1,1
10,0,0,1,1,0,1,2
0,0,0,1,0,0,1,3
10,1,0,1,0,1,1,3
0,0,0,1,0,1,1,2
10,0,0,1,0,1,1,1
10,1,0,1,1,0,1,1
10,0,0,0,1,0,1,3
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,8
0,0,0,0,1,1,1,3
0,0,0,1,0,1,1,8
0,0,0,1,0,0,1,6
0,0,0,0,1,0,1,4
0,1,0,1,0,1,1,8
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,7
0,0,0,1,0,1,1,8
0,0,0,0,0,1,1,6
0,0,0,1,0,1,1,5
0,0,0,0,1,0,1,5
0,0,0,1,0,0,1,5
0,0,0,0,0,1,1,8
0,0,0,1,0,1,1,7
0,0,0,1,0,1,1,7
0,0,0,0,1,0,1,4
10,0,0,0,1,1,1,5
0,0,0,0,1,1,1,4
0,0,0,1,0,1,1,6
0,0,0,0,1,1,1,4
0,0,0,1,0,1,1,1
0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,1,0,0,1,1
0,0,0,1,1,0,0,0
0,0,0,0,1,0,1,2
0,0,0,1,1,0,1,1
0,0,0,1,1,0,0,0
0,0,0,0,0,1,1,1
10,0,0,1,0,1,1,1
0,0,0,0,1,0,1,2
0,0,0,1,1,0,1,2
0,0,0,1,1,0,0,0
0,1,0,1,0,0,1,1
0,0,0,1,1,0,1,1
0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,2
0,0,0,1,1,1,1,4
0,0,0,0,0,0,1,3
0,0,0,0,0,1,1,3
0,0,0,0,0,0,1,4
0,1,0,0,0,0,1,3
0,0,0,0,0,0,1,2
0,1,0,0,0,1,1,3
0,0,0,0,0,0,1,4
0,0,0,0,0,1,1,4
0,0,0,0,0,1,1,3
0,0,0,0,1,0,1,1
0,0,0,0,0,1,1,2
0,0,0,0,0,0,1,2
0,0,0,0,0,1,1,2
0,0,0,0,0,1,1,2
0,0,0,1,0,1,1,3
0,0,0,1,0,0,1,4
0,0,0,1,0,0,1,4
0,0,0,1,0,0,1,4
0,0,0,0,1,0,1,5
0,0,0,0,1,0,1,4
0,0,0,1,0,0,1,3
0,0,0,1,0,1,1,3
0,0,0,1,0,0,1,4
0,0,0,1,0,0,1,4
1,0,0,1,0,0,1,4
0,0,0,1,0,1,0,0
0,0,0,1,1,0,1,3
0,0,1,0,1,1,1,4
0,0,0,1,1,0,1,3
0,0,1,0,1,0,1,9
0,0,0,1,1,1,1,4
0,0,0,1,0,1,1,4
0,0,0,1,0,1,1,5
0,0,0,1,1,1,1,2
0,0,0,1,1,0,1,3
0,0,0,1,1,1,1,4
0,0,1,0,1,1,1,4
0,0,0,1,0,1,1,4
0,0,1,0,1,1,1,3
0,0,0,1,1,1,1,3
0,0,0,1,1,0,1,2
0,0,0,1,0,1,1,4
0,0,1,0,1,0,1,5
0,0,0,1,0,0,1,3
0,0,0,1,1,0,1,4
0,0,0,1,1,0,1,2
0,0,0,1,1,0,1,3
0,0,1,0,1,0,1,5
0,0,1,0,1,0,1,9
0,0,1,0,1,1,1,5
0,0,0,1,1,0,1,3
0,0,0,1,1,0,1,6
0,1,0,1,1,0,1,5
0,0,0,1,0,0,1,6
0,0,0,1,0,1,1,5
0,0,0,1,1,0,1,7
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,1
0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,1
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,6
0,0,0,1,1,1,1,5
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,4
0,0,0,1,0,1,1,6
0,0,0,1,1,0,1,5
0,0,0,0,1,0,1,5
0,0,0,1,1,1,1,4
0,0,0,1,1,0,1,4
0,0,0,0,1,1,1,5
0,0,0,0,1,1,1,3
0,0,0,0,1,1,1,9
0,0,0,0,1,0,1,2
0,0,0,0,1,1,1,7
0,0,0,0,1,1,1,4
0,0,0,0,1,0,1,5
0,0,0,1,1,0,1,4
0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,3
0,0,0,1,0,0,1,3
0,0,0,1,0,0,1,2
0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,2
0,0,0,1,0,0,1,3
0,0,0,1,0,0,1,3
0,0,1,0,0,0,1,3
0,0,0,1,0,0,1,3
0,0,0,1,1,0,1,3
0,0,1,0,0,0,1,2
0,0,0,1,0,0,1,1
0,0,0,1,0,0,1,2
0,0,0,1,0,0,1,2
0,0,0,1,0,0,1,3
0,0,0,1,1,0,1,3
0,0,0,1,0,0,1,2
0,0,0,1,0,0,1,2
0,0,0,1,0,1,1,2
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,1
0,0,0,1,1,0,1,1
0,0,0,1,0,1,1,2
0,0,0,1,0,0,1,1
0,0,0,1,0,0,1,3
0,0,0,1,0,1,1,5
0,0,0,0,1,0,1,3
0,0,0,1,1,1,1,1
0,0,0,1,0,0,1,1
0,0,0,0,0,1,1,1
0,0,0,1,0,0,1,1
0,0,0,0,1,0,1,1
0,0,0,1,1,0,1,1
0,1,0,0,1,0,0,0
0,0,0,1,0,1,1,1
0,0,0,1,1,0,0,0
0,0,0,1,0,1,1,1
0,0,0,0,1,0,1,2
0,0,0,1,1,0,0,0
0,0,0,0,1,1,0,0
10,0,0,0,0,1,1,4
0,1,0,1,1,0,1,4
0,1,0,0,0,1,1,4
0,1,0,0,1,1,1,4
0,1,0,0,0,1,1,4
0,0,0,1,0,0,1,7
0,0,0,0,1,0,1,5
0,0,0,1,1,0,1,4
0,0,0,1,0,0,1,6
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,10
0,0,0,1,1,0,1,5
0,0,0,0,1,0,1,6
0,0,0,1,1,0,1,10
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,7
0,0,0,1,1,0,1,7
0,0,0,0,1,0,1,10
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,7
0,0,0,1,1,0,1,7
0,0,0,1,1,0,1,6
0,0,0,1,1,1,1,9
0,0,0,1,1,0,1,5
0,0,0,1,1,0,1,4
10,0,0,1,0,0,1,5
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,7
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,4
0,0,0,1,0,1,1,8
0,0,0,1,1,0,1,3
0,0,0,1,1,0,1,4
0,0,0,1,0,1,1,7
10,0,0,0,1,0,1,7
10,0,0,0,1,0,1,6
10,0,0,0,1,0,1,8
10,0,0,0,1,0,1,9
10,0,0,0,1,0,1,9
10,0,0,0,1,0,1,9
10,0,0,0,1,0,1,9
10,0,0,0,1,0,1,10
10,0,0,0,1,0,1,11
10,0,0,1,1,0,1,5
10,0,0,0,1,0,1,8
10,0,0,0,1,0,1,11
10,0,0,0,1,0,1,8
10,0,0,0,1,0,1,11
10,0,0,1,0,1,1,9
10,0,0,0,1,0,1,4
10,0,0,0,1,0,1,10
10,0,0,0,1,0,1,5
10,0,0,0,1,0,1,9
10,0,0,1,0,0,1,5
10,0,0,0,1,0,1,10
10,0,0,0,1,0,1,12
10,0,0,0,1,1,1,5
10,0,0,0,1,0,1,10
10,0,0,0,1,0,1,11
0,0,0,0,1,0,1,10
10,0,0,0,1,0,1,7
0,0,0,0,1,0,1,11
10,0,0,0,1,0,1,12
10,0,0,0,1,1,1,9
10,0,0,0,1,0,1,4
10,0,0,0,1,0,1,7
10,0,0,1,0,1,1,8
10,0,0,0,1,0,1,7
10,0,0,0,1,0,1,4
10,0,0,0,1,0,1,11
0,0,0,0,1,0,1,1
0,0,0,0,1,0,1,1
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,5
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,6
0,0,0,1,0,0,1,5
0,0,0,1,0,0,1,4
0,0,0,0,1,0,1,7
0,0,0,1,0,1,1,9
0,0,0,1,1,1,1,5
0,0,0,1,1,0,1,7
0,0,0,1,1,0,1,2
0,0,0,1,1,0,1,1
0,0,0,1,1,0,1,3
0,0,0,1,0,0,1,4
0,0,0,1,1,0,1,1
0,0,0,1,0,0,1,2
0,1,0,1,1,0,1,4
0,0,0,1,1,0,1,5
0,0,0,1,0,0,1,5
0,0,0,1,0,0,1,4
0,1,0,1,1,0,1,4
0,0,0,1,1,0,1,4
0,1,0,1,0,1,1,4
0,0,0,1,1,0,1,4
0,1,0,1,0,0,1,4
0,0,0,1,1,0,1,2
0,0,0,0,1,0,0,0
10,0,0,0,1,0,1,2
0,0,0,0,0,1,1,2
10,0,0,0,1,0,1,2
0,0,0,0,1,0,1,2
10,0,0,0,1,0,1,1
0,0,0,0,1,0,1,2
1,0,0,0,1,0,1,2
10,0,0,0,1,0,1,3
10,0,0,0,1,0,1,1
10,0,0,0,1,0,1,1
0,0,0,0,1,0,1,2
0,0,0,0,1,1,1,2
10,0,0,0,1,0,1,2
0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,2
0,0,0,1,0,1,1,7
0,0,0,0,1,0,1,8
0,0,0,0,1,0,1,6
0,0,0,1,0,1,1,4
0,0,0,1,0,0,1,4
0,0,0,1,1,0,1,8
0,0,0,1,0,0,1,10
0,0,0,0,1,0,1,5
0,0,0,0,1,0,1,7
0,0,0,0,1,1,1,5
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,5
0,0,0,1,0,0,1,7
0,0,0,1,0,0,1,4
0,0,0,1,0,0,1,4
10,0,0,1,0,0,1,5
0,0,0,1,0,0,1,5
0,0,0,1,0,0,1,5
0,0,0,0,1,0,1,4
0,0,1,0,0,0,1,6
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,5
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,6
0,0,0,1,0,0,1,5
0,0,0,1,0,0,1,5
0,0,0,0,1,0,1,7
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,2
0,0,0,0,1,1,1,2
0,0,0,1,0,0,1,3
0,0,0,1,0,0,1,5
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,2
0,0,0,1,0,1,1,4
0,1,0,0,1,0,1,3
10,0,0,1,0,0,1,3
0,0,0,0,1,0,1,7
0,0,0,0,1,0,1,6
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,5
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,3
0,0,0,1,0,1,1,6
0,0,0,0,1,0,1,2
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,0,0,1,0,1,3
0,0,0,1,0,1,1,3
0,0,0,0,1,0,1,6
0,0,1,0,1,1,1,3
0,0,1,0,1,0,1,3
0,0,1,0,1,0,1,3
0,0,1,0,1,0,1,4
0,0,0,0,0,1,1,9
0,0,1,0,1,0,1,3
0,0,1,0,1,0,1,7
0,0,1,0,1,0,1,7
0,0,1,0,1,0,1,7
0,0,1,0,1,0,1,4
0,0,0,0,1,0,1,4
0,0,1,0,1,1,1,5
0,0,0,1,1,1,1,5
0,0,0,1,1,1,1,4
0,0,0,0,1,0,1,3
0,0,1,0,1,0,1,4
0,0,1,0,1,1,1,3
0,0,1,0,1,0,1,3
0,0,1,0,1,0,1,4
0,0,1,0,1,1,1,5
0,0,1,0,1,1,1,3
0,0,1,0,1,0,1,9
0,0,1,0,1,0,1,4
0,0,1,0,1,0,1,8
0,0,0,0,1,0,1,3
0,0,0,0,1,0,1,3
0,0,1,0,1,0,1,3
0,1,0,1,1,0,1,2
0,1,0,0,1,0,1,5
0,1,0,1,0,0,1,2
0,1,0,1,0,0,1,3
0,1,0,0,1,0,1,2
0,1,0,0,1,0,1,2
0,1,0,0,1,0,1,2
0,0,0,0,1,1,1,3
0,1,0,0,1,0,1,4
0,1,0,0,1,1,1,2
0,1,0,0,1,1,1,3
0,1,0,0,1,1,1,3
0,1,0,0,1,1,1,5
0,0,0,1,1,1,1,6
0,0,0,1,1,1,1,11
0,0,0,1,1,1,1,3
0,0,0,1,1,0,1,8
0,0,0,1,1,1,1,9
0,0,0,1,1,0,1,11
0,0,0,1,1,0,1,8
0,0,0,0,1,1,1,10
0,0,0,1,1,1,1,10
0,0,0,1,0,1,1,7
0,0,0,1,1,1,1,9
0,0,0,1,1,0,0,0
0,0,0,1,1,0,1,5
0,0,0,1,1,1,1,2
0,0,0,0,1,0,1,9
0,0,0,1,1,1,1,4
10,0,0,1,1,1,1,11
0,0,0,1,1,0,1,8
0,0,0,1,1,0,1,9
0,0,0,1,1,0,1,16
0,0,0,1,1,1,1,1
10,0,0,0,1,1,1,1
0,0,0,1,1,1,1,7
0,0,0,1,1,0,1,5
0,0,0,1,1,0,1,7
0,0,0,1,1,0,1,7
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,6
0,0,0,1,1,0,1,6
0,0,0,1,1,1,1,2
10,0,0,1,0,1,1,12
0,0,0,1,0,0,1,3
0,0,0,1,0,1,1,3
0,0,0,1,0,1,1,5
0,0,0,0,1,0,1,5
0,0,0,1,0,0,1,5
